"","seq_id","V1","V2","cluster"
"1","MSK14_18",-2.51563900656402,-8.07613512230291,2
"2","MSK14_2",-2.75974331639851,-8.35825422723487,2
"3","MSK15_27",-2.71024788335686,-8.24289293188314,2
"4","MSK15_30",-2.94898384678123,-7.81847343741695,2
"5","MSK15_46",-2.59423544583126,-7.65566904207662,2
"6","MSK15_6",-2.24239317292859,-8.0053272043317,2
"7","MSK17_7",-8.65540924860377,3.99493871707497,3
"8","MSK18_16",-9.06465553831057,4.09759335368531,3
"9","MSK18_18",-9.01053529889515,4.51727965458091,3
"10","MSK18_3",-8.45842643623758,2.03841092824466,3
"11","MSK18_42",-8.62167812621272,4.21592055360054,3
"12","MSK18_55",-9.14396298148411,1.97802791429605,3
"13","MSK18_96",-9.03311142991334,1.92863620028834,3
"14","MSK19_37",-4.94689984960761,-8.62290253254358,2
"15","MSK19_41",-5.01549788579406,-8.86387411984832,2
"16","MSK19_7",-4.57258162375136,-8.61041391292244,2
"17","MSK19_90",-4.57677968171972,-8.45265722989307,2
"18","MSK20_13",-9.04917206796176,3.07519511772758,3
"19","MSK20_14",-8.19568101810538,3.48530413041383,3
"20","MSK20_46",-8.0136456107982,3.72675004434779,3
"21","MSK21_40",-8.7760701619984,2.6615067247624,3
"22","MSK21_6",-8.2248491864568,2.72349337826029,3
"23","MSK22_10",17.2233220727454,3.20097080593771,1
"24","MSK22_17",17.7764094226132,2.95454841474602,1
"25","MSK22_27",17.7707676595701,3.38712516005406,1
"26","MSK22_49",17.5246714303569,2.6546251603227,1
"27","MSK22_59",17.3598106647813,2.7213204150992,1
"28","MSK22_61",17.890213793708,3.94966941232427,1
"29","MSK22_69",17.9308744255724,3.23792321998151,1
"30","MSK23_33",17.6762629411556,3.72502755648034,1
"31","MSK23_75",17.7994220970943,4.13801928686598,1
"32","MSK23_78",17.3720137494958,3.8600741114462,1
"33","MSK23_95",-8.94044480295886,1.37064277044998,3
"34","TM102",-8.52344326945212,1.60301177640982,3
"35","TM103",-8.7037195292044,3.27528754771712,3
"36","TM104",-8.69194646952695,2.917131252842,3
"37","TM107",-8.46800370415891,2.82169184785289,3
"38","TM170",-7.98465949284725,3.30443390805653,3
"39","TM549",17.3845702484224,3.26664068807114,1
"40","TM91",-3.26592241965571,-8.12460029148653,2
